# hostname,interval,timestamp,CPU,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle
raspberrypi,1,2020-07-25 01:25:35 UTC,-1,1.27,0.00,4.06,0.00,0.00,0.00,1.02,0.00,0.00,93.65
raspberrypi,1,2020-07-25 01:25:36 UTC,-1,1.01,0.00,3.27,0.25,0.00,0.00,1.51,0.00,0.00,93.95
raspberrypi,1,2020-07-25 01:25:37 UTC,-1,0.75,0.00,6.77,0.00,0.00,0.00,1.25,0.00,0.00,91.23
raspberrypi,1,2020-07-25 01:25:38 UTC,-1,1.51,0.00,5.03,0.00,0.00,0.00,1.26,0.00,0.00,92.21
raspberrypi,1,2020-07-25 01:25:39 UTC,-1,1.26,0.00,4.55,0.00,0.00,0.00,0.76,0.00,0.00,93.43
raspberrypi,1,2020-07-25 01:25:40 UTC,-1,2.58,0.00,3.61,0.00,0.00,0.00,0.77,0.00,0.00,93.04
raspberrypi,1,2020-07-25 01:25:41 UTC,-1,1.03,0.00,3.62,0.00,0.00,0.00,0.26,0.00,0.00,95.09
raspberrypi,1,2020-07-25 01:25:42 UTC,-1,1.03,0.00,6.15,0.00,0.00,0.00,0.26,0.00,0.00,92.56
raspberrypi,1,2020-07-25 01:25:43 UTC,-1,1.03,0.00,4.63,0.00,0.00,0.00,0.26,0.00,0.00,94.09
raspberrypi,1,2020-07-25 01:25:44 UTC,-1,1.29,0.00,4.37,0.00,0.00,0.00,0.51,0.00,0.00,93.83
raspberrypi,1,2020-07-25 01:25:45 UTC,-1,2.07,0.00,3.37,0.00,0.00,0.00,1.04,0.00,0.00,93.52
raspberrypi,1,2020-07-25 01:25:46 UTC,-1,0.79,0.00,3.16,0.00,0.00,0.00,0.79,0.00,0.00,95.26
raspberrypi,1,2020-07-25 01:25:47 UTC,-1,1.55,0.00,2.84,0.00,0.00,0.00,0.00,0.00,0.00,95.62
raspberrypi,1,2020-07-25 01:25:48 UTC,-1,1.04,0.00,1.81,0.00,0.00,0.00,1.55,0.00,0.00,95.60
raspberrypi,1,2020-07-25 01:25:49 UTC,-1,1.04,0.00,2.85,0.00,0.00,0.00,0.78,0.00,0.00,95.34
raspberrypi,1,2020-07-25 01:25:50 UTC,-1,1.95,0.00,6.10,0.00,0.00,0.00,2.93,0.00,0.00,89.02
raspberrypi,1,2020-07-25 01:25:51 UTC,-1,1.46,0.00,8.54,0.24,0.00,0.00,1.71,0.00,0.00,88.05
raspberrypi,1,2020-07-25 01:25:52 UTC,-1,1.27,0.00,4.31,0.00,0.00,0.00,2.03,0.00,0.00,92.39
raspberrypi,1,2020-07-25 01:25:53 UTC,-1,2.05,0.00,3.59,0.00,0.00,0.00,1.54,0.00,0.00,92.82
raspberrypi,1,2020-07-25 01:25:54 UTC,-1,0.78,0.00,5.21,0.00,0.00,0.00,0.78,0.00,0.00,93.23
raspberrypi,1,2020-07-25 01:25:55 UTC,-1,2.09,0.00,1.57,0.00,0.00,0.00,0.78,0.00,0.00,95.56
raspberrypi,1,2020-07-25 01:25:56 UTC,-1,0.78,0.00,4.69,0.00,0.00,0.00,0.26,0.00,0.00,94.27
raspberrypi,1,2020-07-25 01:25:57 UTC,-1,1.52,0.00,6.60,0.00,0.00,0.00,0.00,0.00,0.00,91.88
raspberrypi,1,2020-07-25 01:25:58 UTC,-1,0.76,0.00,6.33,0.00,0.00,0.00,0.25,0.00,0.00,92.66
raspberrypi,1,2020-07-25 01:25:59 UTC,-1,1.03,0.00,4.38,0.00,0.00,0.00,0.52,0.00,0.00,94.07
raspberrypi,1,2020-07-25 01:26:00 UTC,-1,2.32,0.00,3.09,0.00,0.00,0.00,1.03,0.00,0.00,93.56
raspberrypi,1,2020-07-25 01:26:01 UTC,-1,1.57,0.00,2.87,0.26,0.00,0.00,0.26,0.00,0.00,95.04
raspberrypi,1,2020-07-25 01:26:02 UTC,-1,1.33,0.00,2.40,0.00,0.00,0.00,0.00,0.00,0.00,96.27
raspberrypi,1,2020-07-25 01:26:03 UTC,-1,0.78,0.00,4.42,0.00,0.00,0.00,1.04,0.00,0.00,93.77
raspberrypi,1,2020-07-25 01:26:04 UTC,-1,1.03,0.00,4.64,0.00,0.00,0.00,0.77,0.00,0.00,93.56
raspberrypi,1,2020-07-25 01:26:05 UTC,-1,1.51,0.00,6.53,0.00,0.00,0.00,1.76,0.00,0.00,90.20
raspberrypi,1,2020-07-25 01:26:06 UTC,-1,0.75,0.00,5.50,0.25,0.00,0.00,2.25,0.00,0.00,91.25
